year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1900,Deadwood,Boreal rain forest,98.58694906541717
1900,Deadwood,Boreal wet forest,96.32016128088411
1900,Deadwood,Cool temperate moist forest,96.85089238969121
1900,Deadwood,Cool temperate rain forest,98.559389619769
1900,Deadwood,Cool temperate wet forest,96.52210925276628
1900,Deadwood,Warm temperate moist forest,95.4607766864056
1900,Litter,Boreal rain forest,21.410317481513026
1900,Litter,Boreal wet forest,20.27890689681591
1900,Litter,Cool temperate moist forest,20.485484476398522
1900,Litter,Cool temperate rain forest,21.386361442490642
1900,Litter,Cool temperate wet forest,20.290351597272323
1900,Litter,Warm temperate moist forest,19.788945363998195
1900,Soil Carbon,Boreal rain forest,72.95026397283246
1900,Soil Carbon,Boreal wet forest,70.58709202372158
1900,Soil Carbon,Cool temperate moist forest,70.93150037894124
1900,Soil Carbon,Cool temperate rain forest,72.89178480572156
1900,Soil Carbon,Cool temperate wet forest,70.4730365925046
1900,Soil Carbon,Warm temperate moist forest,69.46667107472844
1900,Total Biomass,Boreal rain forest,0.06124805954943032
1900,Total Biomass,Boreal wet forest,0.061248059549431
1900,Total Biomass,Cool temperate moist forest,0.06124805954943025
1900,Total Biomass,Cool temperate rain forest,0.06124805954943049
1900,Total Biomass,Cool temperate wet forest,0.06124805954943509
1900,Total Biomass,Warm temperate moist forest,0.06124805954943074
