year,indicator,LifeZone,"Default Decay, Turnover and Spinup parameters"
2040,Deadwood,Boreal rain forest,17.569005073941863
2040,Deadwood,Boreal wet forest,15.248915055435432
2040,Deadwood,Cool temperate moist forest,15.8460754793775
2040,Deadwood,Cool temperate rain forest,17.544629225591624
2040,Deadwood,Cool temperate wet forest,15.542470703199253
2040,Deadwood,Warm temperate moist forest,14.431149103817408
2040,Litter,Boreal rain forest,35.30700048842693
2040,Litter,Boreal wet forest,30.758545792557832
2040,Litter,Cool temperate moist forest,31.71733373400555
2040,Litter,Cool temperate rain forest,35.21932698133833
2040,Litter,Cool temperate wet forest,31.011064180993518
2040,Litter,Warm temperate moist forest,28.93584955911943
2040,Soil Carbon,Boreal rain forest,73.43832313608878
2040,Soil Carbon,Boreal wet forest,70.96884675130269
2040,Soil Carbon,Cool temperate moist forest,71.33298576254008
2040,Soil Carbon,Cool temperate rain forest,73.3769657780722
2040,Soil Carbon,Cool temperate wet forest,70.85681794398761
2040,Soil Carbon,Warm temperate moist forest,69.80332463004815
2040,Total Biomass,Boreal rain forest,121.81071576155628
2040,Total Biomass,Boreal wet forest,121.81071576155652
2040,Total Biomass,Cool temperate moist forest,121.81071576155603
2040,Total Biomass,Cool temperate rain forest,121.81071576155564
2040,Total Biomass,Cool temperate wet forest,121.81071576156296
2040,Total Biomass,Warm temperate moist forest,121.8107157615559
